Month,Total Reviews
0,2
1,0
2,0
3,0
4,0
5,0
6,3
7,1
8,0
9,0
10,5
11,1
12,11
13,4
14,0
15,8
16,5
17,1
18,1
19,2
20,2
21,2
22,0
23,6
24,10
25,28
26,7
27,8
28,11
29,14
30,16
31,14
32,17
33,23
34,19
35,37
36,23
37,18
38,24
39,25
40,29
41,23
42,11
43,14
44,5
45,18
46,88
47,50
48,33
49,20
50,33
51,22
52,22
53,24
54,31
55,35
56,35
57,28
58,55
59,39
60,110
61,65
62,54
63,31
64,29
65,46
66,40
67,40
68,24
69,34
70,94
71,88
72,115
73,136
74,136
75,149
76,179
77,110
78,93
79,73
80,85
81,88
82,113
83,227
84,226
85,233
86,174
87,99
88,78
89,113
90,104
91,111
92,139
93,152
94,165
95,260
96,209
97,186
98,179
99,127
100,222
101,148
102,170
103,127
104,175
105,244
106,267
107,239
108,338
109,257
110,400
111,287
112,238
113,176
114,205
115,235
116,137
117,234
118,284
119,292
120,389
121,302
122,288
123,190
124,168
125,180
126,236
127,187
128,191
129,221
130,282
131,361
132,479
133,343
134,370
135,251
136,291
137,230
138,188
139,209
140,189
141,283
142,386
143,369
144,350
145,332
146,247
147,382
148,350
149,213
150,263
151,207
152,263
153,261
154,409
155,554
156,554
157,538
158,492
159,399
160,376
161,328
162,345
163,275
164,343
165,486
166,456
167,645
168,830
169,608
170,685
171,526
172,441
173,592
174,580
175,563
176,522
177,655
178,785
179,992
180,941
181,749
182,665
183,641
184,511
185,538
186,650
187,415
188,215
189,188
190,248
191,197
