Month,Total Reviews
0,1
1,12
2,13
3,6
4,10
5,6
6,14
7,19
8,18
9,22
10,10
11,19
12,27
13,29
14,22
15,65
16,15
17,20
18,34
19,20
20,56
21,88
22,64
23,54
24,33
25,78
26,86
27,71
28,98
29,49
30,107
31,101
32,185
33,126
34,108
35,72
36,49
37,81
38,109
39,62
40,116
41,76
42,196
43,197
44,364
45,336
46,227
47,97
48,155
49,191
50,93
51,101
52,180
53,88
54,168
55,238
56,292
57,377
58,189
59,222
60,74
61,126
62,95
63,129
64,95
65,103
66,89
67,228
68,403
69,261
70,106
71,69
72,109
73,224
74,169
75,226
76,138
77,169
78,177
79,329
80,518
81,489
82,385
83,253
84,180
85,237
86,369
87,245
88,242
89,207
90,225
91,339
92,546
93,602
94,352
95,173
96,156
97,403
98,404
99,296
100,197
101,213
102,286
103,494
104,853
105,746
106,598
107,336
108,305
109,298
110,406
111,357
112,388
113,320
114,507
115,807
116,841
117,1083
118,723
119,713
120,441
121,531
122,465
123,401
124,357
125,490
126,705
127,842
128,1153
129,1138
130,682
131,453
132,357
133,554
134,444
135,478
136,440
137,333
138,533
139,756
140,1259
141,1205
142,658
143,443
144,361
145,332
146,387
147,500
148,493
149,577
150,1159
151,1002
152,1190
153,1158
154,817
155,737
156,398
157,585
158,746
159,775
160,501
161,565
162,1073
163,1266
164,1515
165,1328
166,837
167,859
168,713
169,652
170,1005
171,789
172,671
173,699
174,1613
175,1831
176,2288
177,1935
178,1677
179,1251
180,933
181,862
182,906
183,806
184,731
185,1128
186,1301
187,1717
188,2008
189,1566
190,437
191,361
192,479
193,433
