Month,Total Reviews
0,6
1,23
2,11
3,15
4,6
5,24
6,14
7,14
8,8
9,11
10,17
11,20
12,13
13,42
14,227
15,27
16,84
17,51
18,25
19,16
20,54
21,20
22,56
23,49
24,93
25,55
26,28
27,38
28,48
29,32
30,87
31,53
32,34
33,13
34,42
35,61
36,75
37,139
38,70
39,39
40,103
41,83
42,74
43,98
44,70
45,67
46,97
47,80
48,80
49,40
50,66
51,96
52,68
53,52
54,29
55,85
56,45
57,32
58,65
59,82
60,97
61,106
62,145
63,149
64,71
65,90
66,94
67,129
68,149
69,91
70,80
71,97
72,82
73,81
74,88
75,128
76,107
77,220
78,162
79,82
80,73
81,125
82,106
83,147
84,118
85,110
86,201
87,193
88,137
89,146
90,182
91,180
92,158
93,162
94,244
95,177
96,94
97,173
98,252
99,136
100,123
101,213
102,198
103,224
104,170
105,316
106,257
107,214
108,261
109,147
110,247
111,294
112,277
113,193
114,211
115,280
116,278
117,201
118,263
119,262
120,298
121,229
122,229
123,346
124,276
125,298
126,307
127,322
128,367
129,284
130,296
131,320
132,204
133,237
134,252
135,302
136,267
137,247
138,250
139,294
140,281
141,236
142,237
143,237
144,195
145,166
146,177
147,287
148,258
149,301
150,264
151,312
152,290
153,143
154,240
155,255
156,288
157,338
158,324
159,250
160,247
161,275
162,273
163,333
164,308
165,185
166,301
167,267
168,352
169,376
170,263
171,273
172,343
173,341
174,434
175,489
176,501
177,451
178,377
179,490
180,549
181,298
182,371
183,347
184,374
185,409
186,438
187,375
188,350
189,117
190,109
191,146
192,86
