Month,Total Reviews
0,11
1,1
2,20
3,58
4,27
5,23
6,109
7,6
8,8
9,12
10,10
11,112
12,49
13,28
14,57
15,39
16,32
17,32
18,26
19,83
20,58
21,34
22,29
23,18
24,56
25,75
26,52
27,68
28,141
29,56
30,62
31,38
32,24
33,44
34,73
35,65
36,99
37,57
38,70
39,72
40,60
41,65
42,150
43,163
44,79
45,96
46,65
47,82
48,90
49,95
50,75
51,67
52,56
53,76
54,80
55,87
56,131
57,69
58,84
59,62
60,77
61,125
62,96
63,91
64,57
65,106
66,91
67,123
68,64
69,67
70,92
71,84
72,97
73,102
74,164
75,154
76,110
77,142
78,165
79,123
80,152
81,126
82,131
83,158
84,247
85,236
86,186
87,245
88,306
89,177
90,195
91,249
92,276
93,141
94,329
95,189
96,287
97,298
98,391
99,336
100,305
101,254
102,273
103,349
104,329
105,353
106,317
107,329
108,325
109,414
110,307
111,396
112,291
113,353
114,284
115,441
116,382
117,359
118,416
119,365
120,409
121,410
122,353
123,451
124,433
125,566
126,476
127,532
128,478
129,537
130,514
131,483
132,479
133,466
134,454
135,541
136,466
137,544
138,504
139,521
140,658
141,594
142,589
143,467
144,583
145,602
146,523
147,418
148,658
149,655
150,562
151,567
152,746
153,619
154,777
155,672
156,835
157,922
158,785
159,822
160,946
161,828
162,897
163,993
164,841
165,671
166,1013
167,1001
168,1198
169,1253
170,1128
171,1295
172,1216
173,1250
174,1251
175,1750
176,1458
177,1244
178,1544
179,1382
180,1707
181,1513
182,1133
183,1297
184,1524
185,1390
186,1490
187,1474
188,1359
189,489
190,499
191,535
192,534
