Month,Total Reviews
0,2
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,10
10,10
11,3
12,24
13,13
14,17
15,69
16,14
17,15
18,27
19,34
20,12
21,22
22,22
23,27
24,21
25,43
26,17
27,25
28,28
29,84
30,58
31,33
32,32
33,29
34,38
35,33
36,54
37,89
38,47
39,45
40,68
41,84
42,89
43,93
44,86
45,57
46,68
47,88
48,81
49,73
50,152
51,132
52,125
53,161
54,161
55,87
56,121
57,138
58,159
59,106
60,161
61,125
62,134
63,141
64,164
65,209
66,192
67,178
68,126
69,164
70,146
71,127
72,142
73,89
74,132
75,157
76,250
77,246
78,141
79,169
80,146
81,137
82,138
83,200
84,160
85,259
86,229
87,209
88,293
89,402
90,376
91,258
92,298
93,281
94,401
95,357
96,467
97,360
98,273
99,376
100,404
101,742
102,455
103,493
104,366
105,213
106,360
107,378
108,381
109,243
110,394
111,379
112,528
113,528
114,543
115,330
116,375
117,332
118,343
119,299
120,473
121,463
122,414
123,386
124,534
125,674
126,399
127,471
128,460
129,464
130,407
131,314
132,384
133,483
134,488
135,449
136,590
137,610
138,425
139,404
140,375
141,291
142,324
143,335
144,535
145,399
146,331
147,392
148,541
149,715
150,363
151,442
152,314
153,312
154,377
155,299
156,363
157,404
158,357
159,337
160,491
161,664
162,286
163,339
164,331
165,411
166,440
167,343
168,407
169,453
170,394
171,350
172,584
173,654
174,384
175,513
176,469
177,441
178,512
179,470
180,524
181,400
182,560
183,649
184,755
185,856
186,629
187,552
188,489
189,530
190,556
191,502
192,514
193,594
194,566
195,555
196,685
197,841
198,263
199,158
200,269
201,264
