Month,Total Reviews
0,1
1,5
2,0
3,2
4,0
5,0
6,0
7,2
8,0
9,1
10,1
11,2
12,1
13,0
14,0
15,0
16,2
17,1
18,2
19,8
20,2
21,2
22,2
23,0
24,5
25,24
26,9
27,7
28,6
29,10
30,9
31,12
32,8
33,12
34,15
35,10
36,20
37,12
38,22
39,10
40,9
41,21
42,28
43,28
44,26
45,16
46,13
47,19
48,28
49,13
50,16
51,38
52,55
53,18
54,18
55,32
56,12
57,31
58,36
59,13
60,28
61,45
62,31
63,64
64,30
65,44
66,44
67,49
68,29
69,27
70,51
71,44
72,54
73,58
74,64
75,46
76,70
77,89
78,54
79,86
80,73
81,60
82,85
83,108
84,108
85,92
86,99
87,81
88,58
89,71
90,89
91,92
92,91
93,142
94,84
95,79
96,84
97,86
98,110
99,73
100,93
101,81
102,137
103,130
104,123
105,163
106,154
107,97
108,149
109,91
110,161
111,122
112,121
113,168
114,154
115,206
116,154
117,145
118,135
119,174
120,156
121,117
122,164
123,163
124,133
125,168
126,159
127,166
128,174
129,161
130,211
131,140
132,178
133,159
134,225
135,237
136,160
137,219
138,198
139,217
140,167
141,183
142,170
143,170
144,165
145,192
146,172
147,253
148,228
149,200
150,233
151,256
152,199
153,261
154,280
155,280
156,325
157,320
158,398
159,335
160,344
161,337
162,411
163,355
164,264
165,413
166,396
167,334
168,381
169,381
170,355
171,359
172,480
173,485
174,592
175,567
176,504
177,504
178,477
179,535
180,485
181,385
182,457
183,590
184,747
185,619
186,617
187,500
188,240
189,192
190,176
191,163
