Category Name,URL,Total Reivews,Is Relevant,Scanned
שרותי הובלות,https://www.midrag.co.il/Content/SecFeedbacksIndex/1,63015,1,0
התקנה ותיקון מזגנים,https://www.midrag.co.il/Content/SecFeedbacksIndex/18,131373,1,0
דודי שמש וחשמל,https://www.midrag.co.il/Content/SecFeedbacksIndex/27,69663,1,1
שרותי אינסטלציה,https://www.midrag.co.il/Content/SecFeedbacksIndex/4,167492,1,0
מוסכים,https://www.midrag.co.il/Content/SecFeedbacksIndex/10,46518,1,0
שרותי מנעולנים,https://www.midrag.co.il/Content/SecFeedbacksIndex/21,52790,1,1
עבודות איטום וזיפות,https://www.midrag.co.il/Content/SecFeedbacksIndex/16,21333,0,0
שיפוצים ועבודות צבע,https://www.midrag.co.il/Content/SecFeedbacksIndex/11,23601,0,0
עבודות צבע וטיח,https://www.midrag.co.il/Content/SecFeedbacksIndex/70,19536,0,0
עבודות אלומיניום,https://www.midrag.co.il/Content/SecFeedbacksIndex/87,21733,0,0
עבודות ניקיון ופוליש,https://www.midrag.co.il/Content/SecFeedbacksIndex/25,19699,0,0
תיקון תריסים וחלונות,https://www.midrag.co.il/Content/SecFeedbacksIndex/26,54724,0,0
תיקון מוצרי חשמל,https://www.midrag.co.il/Content/SecFeedbacksIndex/19,162427,0,0
הדברת מזיקים,https://www.midrag.co.il/Content/SecFeedbacksIndex/15,58596,0,0
עבודות גינון,https://www.midrag.co.il/Content/SecFeedbacksIndex/30,16318,0,0
עבודות נגרות,https://www.midrag.co.il/Content/SecFeedbacksIndex/95,10822,0,0
בדק בית,https://www.midrag.co.il/Content/SecFeedbacksIndex/78,6597,0,0
עבודות חשמל,https://www.midrag.co.il/Content/SecFeedbacksIndex/5,102543,0,0
גגות,https://www.midrag.co.il/Content/SecFeedbacksIndex/29,10839,0,0
פרקטים ושטיחים,https://www.midrag.co.il/Content/SecFeedbacksIndex/49,4710,0,0
מצבות,https://www.midrag.co.il/Content/SecFeedbacksIndex/98,2616,0,0
מטבחים,https://www.midrag.co.il/Content/SecFeedbacksIndex/14,6945,0,0
הרחקת יונים,https://www.midrag.co.il/Content/SecFeedbacksIndex/81,8129,0,0
ניקוי ספות,https://www.midrag.co.il/Content/SecFeedbacksIndex/122,15556,0,0
עבודות מסגרות,https://www.midrag.co.il/Content/SecFeedbacksIndex/33,9272,0,0
עבודות זכוכית,https://www.midrag.co.il/Content/SecFeedbacksIndex/56,13869,0,0
תיקוני מחשבים,https://www.midrag.co.il/Content/SecFeedbacksIndex/7,27403,0,0
שמאות מקרקעין,https://www.midrag.co.il/Content/SecFeedbacksIndex/66,3963,0,0
אינטרקום ואזעקות,https://www.midrag.co.il/Content/SecFeedbacksIndex/46,9075,0,0
איתור נזילות,https://www.midrag.co.il/Content/SecFeedbacksIndex/117,7734,0,0
טכנאי גז,https://www.midrag.co.il/Content/SecFeedbacksIndex/20,41679,0,0
עבודות גבס,https://www.midrag.co.il/Content/SecFeedbacksIndex/71,4318,0,0
ייעוץ משכנתאות,https://www.midrag.co.il/Content/SecFeedbacksIndex/74,3320,0,0
תיקוני טלויזיות,https://www.midrag.co.il/Content/SecFeedbacksIndex/22,13696,0,0
עבודות עץ לגינה,https://www.midrag.co.il/Content/SecFeedbacksIndex/57,6020,0,0
עבודות שיש ואבן,https://www.midrag.co.il/Content/SecFeedbacksIndex/58,5752,0,0
ריפוד וחידוש רהיטים,https://www.midrag.co.il/Content/SecFeedbacksIndex/59,5807,0,0
תיקונים קטנים,https://www.midrag.co.il/Content/SecFeedbacksIndex/75,31475,0,0
פתרונות הצללה,https://www.midrag.co.il/Content/SecFeedbacksIndex/64,3893,0,0
תיקון אייפונים / סמארטפונים,https://www.midrag.co.il/Content/SecFeedbacksIndex/55,13324,0,0
דלתות,https://www.midrag.co.il/Content/SecFeedbacksIndex/50,7423,0,0
תיקון ועיצוב וילונות,https://www.midrag.co.il/Content/SecFeedbacksIndex/60,2198,0,0
מערכות לרכב,https://www.midrag.co.il/Content/SecFeedbacksIndex/63,7968,0,0
שירותי דרך וגרירה,https://www.midrag.co.il/Content/SecFeedbacksIndex/62,7339,0,0
ראיית חשבון,https://www.midrag.co.il/Content/SecFeedbacksIndex/93,4770,0,0
בדיקות קרינה וסביבה,https://www.midrag.co.il/Content/SecFeedbacksIndex/72,2688,0,0
